SampleID,Sample_type,LinkID,Temp,Vol_air,Vol_water,Pressure
6ppm-5,Ignore,NA,NA,NA,NA,NA
ANDA1-WR1,HS,ANDA1,25,30,30,1
ANDA1-WR2,HS,ANDA1,25,30,30,1
ANDA1-WR3,HS,ANDA1,25,30,30,1
ANDA1-AIR,AtmRef,ANDA1,25,30,30,1
ANDA2-WR1,HS,ANDA2,25,30,30,1
ANDA2-WR2,HS,ANDA2,25,30,30,1
ANDA2-WR3,HS,ANDA2,25,30,30,1
ANDA2-AIR,AtmRef,ANDA2,25,30,30,1
ANDA3-WR1,HS,ANDA3,25,30,30,1
ANDA3-WR2,HS,ANDA3,25,30,30,1
ANDA3-WR3,HS,ANDA3,25,30,30,1
ANDA3-AIR,AtmRef,ANDA3,25,30,30,1
6ppm-6,Ignore,NA,NA,NA,NA,NA
ANDA7-WR1,HS,ANDA7,25,30,30,1
ANDA7-WR2,HS,ANDA7,25,30,30,1
ANDA7-WR3,HS,ANDA7,25,30,30,1
ANDA7-AIR,AtmRef,ANDA7,25,30,30,1
ANDA8-WR1,HS,ANDA8,25,30,30,1
ANDA8-WR2,HS,ANDA8,25,30,30,1
ANDA8-WR3,HS,ANDA8,25,30,30,1
ANDA8-AIR,AtmRef,ANDA8,25,30,30,1
CAT2-WR1,HS,CAT2,25,30,30,1
CAT2-WR2,HS,CAT2,25,30,30,1
CAT2-WR3,HS,CAT2,25,30,30,1
CAT2-AIR,AtmRef,CAT2,25,30,30,1
6ppm-7,Ignore,NA,NA,NA,NA,NA
CAT5-WR1,HS,CAT5,25,30,30,1
CAT5-WR2,HS,CAT5,25,30,30,1
CAT5-WR3,HS,CAT5,25,30,30,1
CAT5-AIR,AtmRef,CAT5,25,30,30,1
CAT6-WR1,HS,CAT6,25,30,30,1
CAT6-WR2,HS,CAT6,25,30,30,1
CAT6-WR3,HS,CAT6,25,30,30,1
CAT6-AIR,AtmRef,CAT6,25,30,30,1
CAT8-WR1,HS,CAT8,25,30,30,1
CAT8-WR2,HS,CAT8,25,30,30,1
CAT8-WR3,HS,CAT8,25,30,30,1
CAT8-AIR,AtmRef,CAT8,25,30,30,1
CAT10-WR1,HS,CAT10,25,30,30,1
CAT10-WR2,HS,CAT10,25,30,30,1
CAT10-WR3,HS,CAT10,25,30,30,1
CAT10-AIR,AtmRef,CAT10,25,30,30,1
6ppm-8,Ignore,NA,NA,NA,NA,NA
